,Chat_msg
4619,i know and so do you it seemslike
4620,yes not easy tho
4621,well u gotta stop letting emotions over market
4623,especially in terra ecosystem
4624,certainly i also learnt it hard way
4625,yes something to learn in the space
4626,send fr so i canmessage you
4627,i can t seem to do tbag even tho i know how to
4628,oooh damn sad
4629,naah lol gotta take profits
4630,gm
4631,what did
4632,gm
4633,but they let me down too
4634,i had hope for eaglez
4635,garbage
4636,nah they pretty much done  imnot in discord anymore i justfollow fp and their tokenomica
4637,ohh isee
4638,foxes
4639,faded foxds
4640,what is that
4641,inactive now or they still doing stuff
4642,what s that
4643,nah mhac
4644,you have  faded foxes
4646,shit went from  to  fp rn tho so kinda good pull
4647,back then it wasn t quite as bad
4648,ya someteamsjust didn t do enough it s because it s allllllll a cash grab now
4649,of mhac cause it was the first i ever bought
4650,ooof
4651,and i have  lmao
4653,yo send me a friend request i can t send toyou
4654,ga
4655,bro ive held mile high ape club since mint
4656,there was a bunch of like hype mints back then crazy how some quickly faded out
4657,lfg
4658,i got out of them asap it was tough because it was first nft i ever bought
4659,they were lefitduring and afyermint
4660,felloff the face of the earth
4661,guru gang
4662,horrible 
4663,sweet
4664,yes  
4665,ive yet to receieve mine
4666,throwback them where are they at now
4667,are talismans still being airdropped
4668,bro we are way to similar lol
4669,hi
4670,literallyjustmissed the cutline as i like to putit
4672,damn ya i hadi faded blue chipsback when i first got into sol nfts
4673,famous fox been aroundlonger
4674,they minted the sameweekback in like march or around then
4675,faded foxes lmao not famous fox
4676,gm fam
4677,but still doing pretty well ls are part of this game
4678,gm
4679,naah i have too many ls cause i hold
4680,still very lucky yall doing good things
4681,just the one i minted
4682,yoooo
4683,now you have cets
4684,yo
4685,i saw bohemia go  too back then and i faded and cets was  but had no liquid and minted one
4686,bohemia is whats cets to me
4687,but famous fox cam ling before bohemia right 
4688,me too and regret not buying it same wroth cets
4689,hello whats up fam
4690,hi
4691,woopwoop
4692,look at bohemia
4693,hahahahahaha
4694,fixes and eaglez are both like  solana
4695,woop
4696,i fuckin took the biggest l with that
4697,dude i watched bohemia at  fp and bought minted faded fixes and eaglez back then instead
4698,gm
4699,i was there when bohemia minted and missed it lol cuz it was botted on public and hated it and missed
4700,trust im hawking my wallet collectibles waiting i have faith it ll come by tomorrow
4701,no worries fam just keep a look on your wallet as well
4703,good question in case i end up having to buy one  or might scoop a second tbh long as i get my airdrop first
4704,ok great if possible keeep me updated and in the loop i can not afford to miss this i spent toe and money making sure to secure this talisman
4705,what s fp
4706,yes
4707,but they are selling on fff
4708,tysm guys
4709,i checked it as well its there  just wait for the talismna to get sent to you
4710,just checked it is on there  d
4711,and thank you
4713,whats ur addy ill try to help if i can check on my phone
4714,yes im still getting info from the team on around what time will the airdrop end 
4715,on phone so looking up is not possible with that
4716,should be ya but non of those are the talisman wltoken
4717,appreciate that so when should i start to worry about not getting a talisman like tomo afternoon
4718,congrats
4719,yse sir
4722,talisman is the name of the wl token check the token address in 
4723,     
4724,check your wallet in one of the announcement in   theres a post whre u can check ur wallet
4726,but does that mean it was submitted
4727,this right
4728,yea
4729,where did u won the wl you shouldve filled up the form in your server
4730,where should i submit my wallet 
4731,no the team will know the staked guru masters and that staking wallet will get talisman token the role is just for more discord organization you can refresh your boho nft in matrica and once your matrica reflects your boho as guru your role will follow up
4732,gm guys
4733,fff token how much
4734,yo
4735,gm guys
4736,like i know not everyone has got theirs yet but i need to be sure i get mine as my bohemia turned guru and staked before the snap shot was taken
4737,hi
4738,so do i have to have a discord role as guru or something in order to get my talisman airdrop i have my guru staked but not sure how it works
4739,hello
4740,where is wallet submit
4741,what do u mean fam
4743,woopwoop
4744,i am guru correct
4746,woopwoop
4748,woopwoop
4750,its still on going 
4751,yo on
4753,gm
4754,oh alright   
4755,where do i submit my wallet
4756,guys i haven t received token yet
4757,gm
4758,morning
4759,gm
4760,hello
4761,gm fam
4762,morning guys
4763,wl tokens are still being sent out 
4764,i guess i will have to try my luck in public stage
4765,okay thank you 
4766,noice
4767,he won from a giveaway in another discord
4768,talisman airdrop will still continue up until mint so no stress if you havent recieved yet
4769,is there still hope for wl
4770,wow
4771,yoo you got the talisman master  role now make sure you fill out the form in  aswell i will close our ticket
4772, please check me wallet sumbit form i dont have token
4773, hello bro
4774, for them to see
4775,your roles are being assigned now please check for the talisman master ii channel and submit your wallet asap
4776,your roles are being assigned now please check for the talisman master ii channel and submit your wallet asap
4777,nothing just our organizational purposes
4778,hello may i know the difference between talisman master and talisman master ii roles thank you 
4779,im from brocoly dao
4780,wazhup guys
4781,can you dm me the list of winners
4782,   i could really use some help here i ve haven t heard from  about assigning wl roles to the winners from monkey baby business and defi pirates and we re really coming down to the wire on the wallet submission deadline
4783,yes sir
4784, thank
4786,for the og bohemians it was almost identical
4787,hello where wallet submit
4788,they differ a small slight
4789,yap i filled just now
4790,cool got it but will solrarity ranking will be closer moon rank one
4791,have you tried 
4792,is wl submit available
4793,i guess solrarity use to be pretty quick but the official ranking will be on moonrank shortly after the mint
4794,morning
4795,i was wondering if the rarity ranking will be up straight after the mint
4797,gm
4798,  just answered 
4799,gm all
4802,no worries the airdrop is still ongoing
4803,have you submitted it here yet   form closing soon
4804,caw caw
4805,wer can i send my wallet
4806,lezgoooo
4807,gm
4808,but is it okay if i see my wallet was on the list but i am still not get the token
4809,tomorrow is the day guys
4811,woopwoop
4812,thanks fam filled and submitted
4813,hype for thisss
4814,yooo
4816,where to fill form for wl
4817,youll get it ser wait a little more
4819,charly right now
4820,airdrop is still ongoing
4821,haven t gotten my token yet
4822,good morning bohemians   hope yall have fantastic start to the week  
4824,wagmi
4825,tomorrows the big day woop woop
4826,gm
4827,cant wait
4828,ok means tomorrow cool cool
4829, utc 
4830,when is mint 
4831,gm
4832,now now thats some scary stuff although i am pretty sure its because of food poisoning
4834,fortunately that s about the worst of the symptoms
4835,be safe fam new strain of the vid making people puke
4836,gm
4837,yes sir
4839,process is still on going 
4840,oh really what happened
4841,well how are you
4842,hello not so well got sick since yesterday
4843,not receive token yet 
4844,whats up fam
4845,that will be my scenario hahaha
4846,hi guys whats up
4847,you know it ahahaha
4849,thanks mate
4850,gm
4851,welcome coral
4852,what is the fp of token on fff now 
4853,thanks will ask the team if they can edit it
4854,i know we can google it and convert but it helps
4855,we need to edit the mint time to show it in local time for every user in discord that really helps
4856,stay up and brace up for work few hours after  
4857,search fff token market  token id is in 
4858,wtf lfg
4859,hloo
4860,wondering whether i just stay up or set alarms what are you going to do
4861,rdy to mint  of these babies
4862,getting so excited
4863,woopwoop stay tuned for more announcmenets
4864,alright thank you ser cant wait
4865,on fff check token address on 
4866,ofcourse as long as you have the talisman token youll be able to mint
4867,i hope i will be able to mint  
4868,maybe just some writings i have no idea yet what thats about
4869,where do i buy token 
4870,    
4871,just wondering why it is written  below my fabulosa talisman token
4872,gm
4873,woopwoop
4874,oh em geeeeeeeee
4875,i m excited let s goo
4876,its still on going 
4877,ok thank you ser
4878,anyone got their talisman airdrop
4879,try some giveaways on twitter fam ive seen some giveawaya
4880,gm
4881,oh yeah not yet wl 
4882,we suffer from that it is what it is we will need tons of coffee hahaha
4883,check info 
4884,july 
4885,wassup
4886,appreciate it ahahahah 
4887, for wl
4888,good morning sir
4889,whats mint price of talisman
4890,wen mint frend
4891,gm fam
4892,no worries fam
4893,gm
4894,ty
4895,ill take note of this and ask the team regarding this and hopefully we can have like an announcement to ease everyones mind regarding this
4897,woopwoop
4898,but most util r related to rarity
4899,unless theres enough util for everyone to hold on to it  but yes the team thought about that for sure this is not the first time rarity mattered for a project
4900,hv the team thought abt that
4901,and pph will crash the fp to sell thier common tho
4902,gm
4903,its not really fucked but just rarer is more beneficial all are useful in the end none will get fked
4904,rarity matter for fablousa so i pulled a common at mint then i m totally fked
4905,hi
4906,i cant believe im granted talisman master ii 
4907,hello
4908,hey there
4909,hello
4910,   woopwoop
4912,and a good morning to you
4913,gm
4914,hello fam
4915,hey guys
4916,woopwoop
4917,too
4918,gn
4919,what u mean
4920,ok
4921,so u mena we not get in gen  nft
4922,sir
4923,okay
4924,nothing just our organizational management
4925,no however you can rent your fabulosa to earn woop more info on 
4926,yes wait for the team to address it  thank you
4927,test
4928,whats the difference
4929,its talisman  and talisman 
4930,one question
4931,yeah its insane
